S. No.,Word Pair,,Similarity Score
1,?????,?????,6.73
2,???,??????,7.27
3,???,???,10
4,??????,?????,6.73
5,?????????,???????,4.91
6,?????????,???????,6.45
7,?????,???,5.18
8,???????,???,5.91
9,???????,?????,5.55
10,????????,??????,6.73
11,??????,??????,5.27
12,???,????,1.64
13,????,?????,5.91
14,????,???,5.64
15,????????,????,7.64
16,?????????,????????,4.45
17,?????,?????????,6.73
18,???????,?????,4.82
19,???????,??????,2.36
20,?????,????,8.18
21,????,??????,8.27
22,????,????,1.45
23,????,????,1.91
24,????,??????,1.82
25,????,????,1.09
26,???????,????,3.18
27,????,?????,5.09
28,????,??????,4.45
29,??????,?????????,8.45
30,????,??,8.64
31,?????,??,8.18
32,??,???,9.09
33,?????????,????,1.36
34,????,?????????,1.64
35,????,????,8.64
36,????,???,2.73
37,????,????,7.55
38,???????,??????,8.18
39,???????,??????????,5.36
40,??????,?????,1.82
41,?????,?????,9.45
42,????????,???????,8.18
43,???????,??????,10
44,???????,??????????,5.36
45,???????,?????,5.36
46,?????,?????,6.64
47,??????,?????,4.09
48,??????,????,6.82
49,??????,??????,1.91
50,?????,????,8.09
51,?????,????,4.36
52,?????,????????,5.82
53,?????,?????,7.82
54,?????,?????,8.18
55,?????-???????,???????,7.64
56,?????-???????,?????-???????,5.91
57,????????,?????-???????,4.55
58,????,?????-???????,4.82
59,?????,???,8.55
60,?????,???????,8.55
61,????,???,2.27
62,????,???,1.27
63,????,????,6.45
64,????,????,7.82
65,?????,???,8.36
66,????,???,3.27
67,???,????-????,8.36
68,????,????,7.82
69,??????,????????,6.73
70,?????,????,9.36
71,??,??????,8.27
72,???????,????????,8.64
73,??????,??????,10
74,????????,?????,9.18
75,?????,?????,8.36
76,????,??,7.64
77,?????,??????,6.82
78,?????,????,6.64
79,????,???????????,5.27
80,???,????,4.64
81,????,???????????,0.82
82,????,???,6.45
83,??????,???,6.91
84,????,????????,5.82
85,??????????,???????,1.73
86,????,??????,5.55
87,??,??????,2.82
88,??,?????????,4.91
89,??????,???????,1.18
90,????,???,4.27
91,??,??,3.09
92,????,??????,4.18
93,???,??????????,1.73
94,????,??????,4.36
95,?????,???,1.73
96,??????,????????,2.82
97,??,????,9.09
98,??,???,9.18
99,??,??????,8.73
100,??,?????,8.45
101,??,???????,8.73
102,??,??????,7.27
103,??,????,8.27
104,??,???,7.82
105,??,?????,7.55
106,??,??????????,8.27
107,??,??????,4.45
108,???,??????,7.73
109,???,??????-????,7.73
110,???,?????????,7.64
111,???,????????,7.91
112,???,?????,8.18
113,???,???,8.27
114,???,???????,5.82
115,???,?????????,6.36
116,??????????,??????-????????,7.45
117,??????????,????????,7.18
118,??????????,??,7.27
119,??????????,?????,7.09
120,??????????,???????,6.82
121,??????????,????????,7.73
122,??????????,??????,8.36
123,??????????,?????,8.55
124,??????????,?????????,7.73
125,??????????,???????,9.27
126,??????????,???????,6.27
127,??????????,???????,7.45
128,????,????,7.09
129,????,???????,8.18
130,????,????,7.64
131,????,?????,7.55
132,????,????????,8.64
133,????,????????,8.36
134,????,???????,8.82
135,?????,??????,9.55
136,?????,???????,7.18
137,?????,???????,6.55
138,?????,?????,6.18
139,?????,??????,4.64
140,?????,????,4.73
141,?????,???????,2.82
142,??,?????,6.36
143,??,????????,7.27
144,??,???,4.36
145,??,???????-???????,6.27
146,??,?????,7.27
147,??,?????,2.64
148,??,????,7.36
149,??,????,4.36
150,??,??????,3.18
151,??,???,4.18
152,??????,??????,7.55
153,??????,???,2.73
154,?????,????,4.45
155,????,????-???,6.55
156,?????,??????????,7.64
157,?????????,??????????,7.27
158,??????,?????,6.73
159,??????,??????-??-?????,7.18
160,??????,????-??????,7.36
161,????-??????,??????,6.82
162,????-????,????,4.73
163,????-????,?????????,6.73
164,??????,???????,6.45
165,????,????????,7.73
166,???,???,5.18
167,???,????????,7.55
168,????,?????,6.82
169,?????,?????,4.64
170,??????,??????,4.27
171,???,????????,8.45
172,?????????,??????,4.27
173,???????,???,5.91
174,???????,????????,7.27
175,???????,???,4.36
176,?????,???????,7.36
177,??????,??????,6.64
178,?????,???,4.55
179,??????,???????,4.27
180,?????,??????,3.18
181,?????????,????????,2.18
182,???????,???????,4.09
183,?????,?????,2.45
184,???,???,7.18
185,???,???????,3.18
186,?????,???????,1.45
187,?????,??????,4.55
188,??????,??????,7.18
189,?????,?????,6.27
190,??????????,?????,3.64
191,??????,?????,5.45
192,?????,????,5.36
193,??????,????????,6.09
194,??????,?????,6.18
195,?????,????,7.73
196,?????,??????,6.18
197,?????,??????,6.45
198,????,???????,5.64
199,?????????,???,6.36
200,?????,?????????,2.18
201,????,?????,6.18
202,???????,?????,3.45
203,????????,???????,5.64
204,????????,?????,6.18
205,?????,????,8.73
206,?????,??????,6.55
207,????,????-???????,5.27
208,????,??????,6.18
209,??,???????,9.27
210,????????,???,7.82
211,???????,???????-?????,6.73
212,??????,??????,2.45
213,??????,????,6.18
214,????,????,8.27
215,??????,???,9.09
216,??????,????,5.27
217,????,??????,5.55
218,????,???????,5.73
219,????????,???????????,4.09
220,??????,???,6.36
221,?????,???????,7.18
222,?????,????,5.09
223,???????,????????,7.45
224,??????,???????,7.27
225,????????????,????,6.36
226,????????,???????????,5.64
227,????????,?????,5.55
228,??????,????-?????,4.09
229,???,?????,5.27
230,?????,?????,3.55
231,?????,???????,3.27
232,????,??????,6.64
233,??????,??,6.36
234,???????,????????,8.36
235,????????,????,5.55
236,?????,????,2.36
237,??????,???????,2.09
238,????,????,4.09
239,??????,??????,4.09
240,??????,??????,5.18
241,?????????,????????,6.27
242,?????????,?????,5.45
243,??????????,?????,4.36
244,????,???,6.27
245,???,?????,6.36
246,???,?????,7.36
247,???,???,5.36
248,???,?????,4.36
249,???????,??????,4.45
250,???????,????,7.64
251,??????,????,2.18
252,???????,??????,5.73
253,???????,????,7.73
254,??????,???????,6.91
255,??????,???,5.73
256,??????,??????,6.18
257,??????,????,6.55
258,????,??????,9.18
259,??????,??????,7.91
260,??????,???,8.36
261,???,????,7.64
262,?????,???????,5.36
263,?????,???????,5.82
264,?????,???????,5.55
265,?????,??????,7.64
266,????,???,7.64
267,????,????,1.27
268,????,?????,6.55
269,????,??????,4.64
270,?????????,?????????,7.27
271,???????,?????????,7.55
272,????,?????,6.73
273,?????,????????,5.09
274,????????,???,7.27
275,????,?????,3.27
276,???????,???,6.73
277,??????,????,7.64
278,???,????,7.27
279,??????,????,4.36
280,???,????,7.55
281,???,???,7.73
282,??????,????-????,6.36
283,???,????????,7.27
284,???,???,6.55
285,???,????????,4.73
286,???????-????,??????,5.55
287,???????-????,????,7.36
288,???????-????,??????,7.18
289,??????,????,5.82
290,??????,????,2.45
291,????,??????,4.73
292,??????,???????,3.45
293,????,???,4.27
294,????,???,4.91
295,???,???,4.82
296,???????????,???,1.82
297,???????????,???-???????????,7.27
298,??????,?????,6.09
299,????,????,1.27
300,???,?????,6.45
301,?????,????,6.91
302,?????,???????,5.45
303,???,???,5.55
304,???????,???????,8.45
305,???????,???????????,7.36
306,???????,????,6.55
307,????,?????,5.27
308,????,????????,6.27
309,?????,?????????,6.82
310,?????,?????,1.82
311,?????,????????,5.27
312,??????,???,7.73
313,??????-?????,??????,5.45
314,???????,???????,4.91
315,????????,??????,7.36
316,??????,?????,6.27
317,?????,?????????,7.09
318,???????,?????,4.45
319,?????,?????,6.09
320,???????,???????,5.73
321,???????,????,5.36
322,????????,????????,6.36
323,????,??????,6.64
324,????????,?????,5.64
325,??????,?????,4.64
326,?????,??????,1.27
327,????,?????,0.73
328,??????,???????,4.09
329,????????,????????,6.45
330,??????,??????,7.18
331,????,????????,4.82
332,???,??????,7.27
333,????,???,4.64
334,?????,??????,7.09
335,?????,?????,6.55
336,?????,????????,5.91
337,????,????,2.55
338,???????????,????,7.73
339,????,???????????,6.18
340,?????????,??????,6.18
341,?????-??????,???-???????,3.45
342,??????,???,1.82
343,?????????,?????,5.09
344,??????,?????????,7.27
345,????????,?????,6.55
346,???????,?????,6.91
347,??????,????,7.09
348,??????,?????,1.73
349,??????,????,1.55
350,????,???????????,7.09
351,????,???????,5.82
352,????????,????????,5.36
353,?????????,???,4.91
